anio_enfr,prov_id,prov_nombre,grupo_edad_5,sexo,dm_total,dm_total_se,dm_total_cv,dm_prev,dm_prev_se,dm_prev_cv
2005,6,Buenos Aires,55-59 años,Varón,40985,14078.65,0.34,0.11,0.03,0.33
2005,6,Buenos Aires,60-64 años,Mujer,63992,17632.38,0.28,0.19,0.05,0.25
2005,6,Buenos Aires,60-64 años,Varón,59911,17019.29,0.28,0.19,0.05,0.26
2005,6,Buenos Aires,65-69 años,Mujer,50903,16608.05,0.33,0.22,0.06,0.27
2005,6,Buenos Aires,65-69 años,Varón,37606,12797.43,0.34,0.2,0.06,0.3
2005,6,Buenos Aires,70-74 años,Mujer,35489,12820.43,0.36,0.16,0.05,0.33
2005,6,Buenos Aires,70-74 años,Varón,11416,4695.23,0.41,0.06,0.03,0.41
2005,6,Buenos Aires,75-79 años,Mujer,36637,13093.58,0.36,0.19,0.06,0.31
2005,6,Buenos Aires,75-79 años,Varón,47909,16905.43,0.35,0.31,0.08,0.27
2005,6,Buenos Aires,80+ años,Mujer,30249,10329.59,0.34,0.16,0.05,0.31
2005,6,Buenos Aires,80+ años,Varón,30602,14380.1,0.47,0.28,0.12,0.41
2005,10,Catamarca,20-24 años,Mujer,195,195,1,0.02,0.02,0.99
2005,10,Catamarca,20-24 años,Varón,297,217.68,0.73,0.02,0.02,0.73
2005,10,Catamarca,25-29 años,Mujer,640,443.92,0.69,0.06,0.04,0.66
2005,10,Catamarca,25-29 años,Varón,290,172.66,0.6,0.03,0.02,0.59
2005,10,Catamarca,30-34 años,Mujer,677,357.91,0.53,0.06,0.03,0.51
2005,10,Catamarca,30-34 años,Varón,394,180.41,0.46,0.04,0.02,0.46
2005,10,Catamarca,35-39 años,Mujer,725,223.5,0.31,0.09,0.03,0.3
2005,10,Catamarca,35-39 años,Varón,430,230.51,0.54,0.04,0.02,0.53
2005,10,Catamarca,40-44 años,Mujer,717,298.48,0.42,0.1,0.04,0.39
2005,10,Catamarca,40-44 años,Varón,195,160.08,0.82,0.03,0.03,0.81
2005,10,Catamarca,45-49 años,Mujer,470,228.1,0.49,0.1,0.05,0.46
2005,10,Catamarca,45-49 años,Varón,253,162.6,0.64,0.04,0.03,0.64
2005,10,Catamarca,50-54 años,Mujer,757,295.15,0.39,0.11,0.04,0.38
2005,10,Catamarca,50-54 años,Varón,1402,534.65,0.38,0.23,0.08,0.33
2005,10,Catamarca,55-59 años,Mujer,1156,401.37,0.35,0.2,0.06,0.31
2005,10,Catamarca,55-59 años,Varón,366,203.11,0.55,0.1,0.06,0.57
2005,10,Catamarca,60-64 años,Mujer,551,273.14,0.5,0.13,0.07,0.49
2005,10,Catamarca,60-64 años,Varón,496,248.04,0.5,0.19,0.09,0.46
2005,10,Catamarca,65-69 años,Mujer,1640,493.81,0.3,0.5,0.1,0.19
2005,10,Catamarca,65-69 años,Varón,485,254.94,0.53,0.14,0.07,0.5
2005,10,Catamarca,70-74 años,Mujer,755,312.86,0.41,0.36,0.12,0.33
2005,10,Catamarca,70-74 años,Varón,152,120.17,0.79,0.09,0.07,0.77
2005,10,Catamarca,75-79 años,Mujer,323,169.27,0.52,0.21,0.1,0.48
2005,10,Catamarca,75-79 años,Varón,207,114,0.55,0.15,0.08,0.54
2005,10,Catamarca,80+ años,Mujer,18,18,1,0.01,0.01,1.02
2005,10,Catamarca,80+ años,Varón,34,34,1,0.04,0.04,1.02
2005,14,Córdoba,20-24 años,Mujer,8483,4880.08,0.58,0.07,0.04,0.56
2005,14,Córdoba,20-24 años,Varón,0,0,NA,0,0,NA
2005,14,Córdoba,25-29 años,Mujer,3380,2443.35,0.72,0.04,0.03,0.71
2005,14,Córdoba,25-29 años,Varón,5391,4237.88,0.79,0.04,0.03,0.77
2005,14,Córdoba,30-34 años,Mujer,7399,3133.43,0.42,0.08,0.03,0.41
2005,14,Córdoba,30-34 años,Varón,7045,5136.16,0.73,0.12,0.08,0.66
2005,14,Córdoba,35-39 años,Mujer,3578,1854.51,0.52,0.04,0.02,0.52
2005,14,Córdoba,35-39 años,Varón,5005,3947.49,0.79,0.08,0.06,0.74
2005,14,Córdoba,40-44 años,Mujer,7448,3521.67,0.47,0.07,0.03,0.46
2005,14,Córdoba,40-44 años,Varón,2469,2059.48,0.83,0.03,0.03,0.82
2005,14,Córdoba,45-49 años,Mujer,5287,5287,1,0.08,0.07,0.93
2005,14,Córdoba,45-49 años,Varón,8193,3948.73,0.48,0.19,0.08,0.42
2005,14,Córdoba,50-54 años,Mujer,10529,4569.85,0.43,0.12,0.05,0.41
2005,14,Córdoba,50-54 años,Varón,8938,4185.17,0.47,0.14,0.06,0.44
2005,14,Córdoba,55-59 años,Mujer,11736,6002.51,0.51,0.16,0.07,0.45
2005,14,Córdoba,55-59 años,Varón,6672,3765.14,0.56,0.14,0.07,0.52
2005,14,Córdoba,60-64 años,Mujer,10433,3639.38,0.35,0.18,0.06,0.33
2005,14,Córdoba,60-64 años,Varón,11841,4190.03,0.35,0.17,0.06,0.34
2005,14,Córdoba,65-69 años,Mujer,17243,7513.59,0.44,0.3,0.1,0.33
2005,14,Córdoba,65-69 años,Varón,17548,7397.14,0.42,0.38,0.11,0.29
2005,14,Córdoba,70-74 años,Mujer,10417,3536.07,0.34,0.2,0.06,0.31
2005,14,Córdoba,70-74 años,Varón,5038,3230,0.64,0.12,0.07,0.59
2005,14,Córdoba,75-79 años,Mujer,7816,2643.29,0.34,0.22,0.07,0.32
2005,14,Córdoba,75-79 años,Varón,6980,3330.17,0.48,0.23,0.1,0.42
2005,14,Córdoba,80+ años,Mujer,2564,1358.07,0.53,0.09,0.05,0.51
2005,14,Córdoba,80+ años,Varón,1469,924.14,0.63,0.08,0.05,0.65
2005,18,Corrientes,20-24 años,Mujer,2939,1776.64,0.6,0.08,0.05,0.57
2005,18,Corrientes,20-24 años,Varón,121,121,1,0,0,1
2005,18,Corrientes,25-29 años,Mujer,2533,939.2,0.37,0.08,0.03,0.36
2005,18,Corrientes,25-29 años,Varón,868,615.64,0.71,0.03,0.02,0.7
2005,18,Corrientes,30-34 años,Mujer,1201,681.43,0.57,0.04,0.02,0.56
2005,18,Corrientes,30-34 años,Varón,0,0,NA,0,0,NA
2005,18,Corrientes,35-39 años,Mujer,910,509.81,0.56,0.04,0.02,0.55
2005,18,Corrientes,35-39 años,Varón,758,485.87,0.64,0.03,0.02,0.64
2005,18,Corrientes,40-44 años,Mujer,1851,634.36,0.34,0.09,0.03,0.33
2005,18,Corrientes,40-44 años,Varón,866,500.15,0.58,0.04,0.02,0.57
2005,18,Corrientes,45-49 años,Mujer,302,268.42,0.89,0.02,0.02,0.88
2005,18,Corrientes,45-49 años,Varón,1122,609.07,0.54,0.07,0.04,0.52
2005,18,Corrientes,50-54 años,Mujer,1328,528.69,0.4,0.06,0.02,0.4
2005,18,Corrientes,50-54 años,Varón,3469,1270.9,0.37,0.19,0.06,0.33
2005,18,Corrientes,55-59 años,Mujer,3428,1288.96,0.38,0.22,0.07,0.33
2005,18,Corrientes,55-59 años,Varón,2557,1352.65,0.53,0.18,0.08,0.46
2005,18,Corrientes,60-64 años,Mujer,2859,977.92,0.34,0.22,0.07,0.3
2005,18,Corrientes,60-64 años,Varón,2042,973.3,0.48,0.2,0.08,0.42
2005,18,Corrientes,65-69 años,Mujer,2181,844.72,0.39,0.21,0.07,0.35
2005,18,Corrientes,65-69 años,Varón,671,347.14,0.52,0.11,0.06,0.52
2005,18,Corrientes,70-74 años,Mujer,929,513.1,0.55,0.14,0.07,0.52
2005,18,Corrientes,70-74 años,Varón,2150,915.62,0.43,0.39,0.12,0.32
2005,18,Corrientes,75-79 años,Mujer,576,353.03,0.61,0.17,0.1,0.57
2005,18,Corrientes,75-79 años,Varón,1173,623.45,0.53,0.23,0.12,0.51
2005,18,Corrientes,80+ años,Mujer,0,0,NA,0,0,NA
2005,18,Corrientes,80+ años,Varón,470,318.09,0.68,0.2,0.12,0.6
2005,22,Chaco,20-24 años,Mujer,1370,896.86,0.65,0.04,0.03,0.64
2005,22,Chaco,20-24 años,Varón,1276,658.5,0.52,0.04,0.02,0.51
2005,22,Chaco,25-29 años,Mujer,1894,777.04,0.41,0.07,0.03,0.4
2005,22,Chaco,25-29 años,Varón,709,473.82,0.67,0.02,0.02,0.66
2005,22,Chaco,30-34 años,Mujer,1982,738.52,0.37,0.09,0.03,0.36
2005,22,Chaco,30-34 años,Varón,350,350,1,0.02,0.02,0.99
2005,22,Chaco,35-39 años,Mujer,3549,1212.34,0.34,0.14,0.04,0.31
2005,22,Chaco,35-39 años,Varón,875,531.93,0.61,0.04,0.02,0.6
2005,22,Chaco,40-44 años,Mujer,2045,677.06,0.33,0.08,0.03,0.32
2005,22,Chaco,40-44 años,Varón,1559,681.38,0.44,0.07,0.03,0.42
2005,22,Chaco,45-49 años,Mujer,1802,619.75,0.34,0.11,0.04,0.33
2005,22,Chaco,45-49 años,Varón,372,224.37,0.6,0.02,0.01,0.61
2005,22,Chaco,50-54 años,Mujer,1990,1193.02,0.6,0.12,0.06,0.54
2005,22,Chaco,50-54 años,Varón,2822,1300.65,0.46,0.12,0.05,0.43
2005,22,Chaco,55-59 años,Mujer,2530,826.13,0.33,0.2,0.06,0.29
2005,22,Chaco,55-59 años,Varón,1712,714.74,0.42,0.13,0.05,0.4
2005,22,Chaco,60-64 años,Mujer,1855,680.48,0.37,0.2,0.07,0.33
2005,22,Chaco,60-64 años,Varón,985,500.96,0.51,0.12,0.06,0.49
2005,22,Chaco,65-69 años,Mujer,912,434.91,0.48,0.1,0.05,0.46
2005,22,Chaco,65-69 años,Varón,1679,734.55,0.44,0.19,0.07,0.4
2005,22,Chaco,70-74 años,Mujer,4252,1348.94,0.32,0.35,0.09,0.24
2005,22,Chaco,70-74 años,Varón,816,398.23,0.49,0.15,0.08,0.54
2005,22,Chaco,75-79 años,Mujer,780,454.17,0.58,0.1,0.06,0.56
2005,22,Chaco,75-79 años,Varón,965,432.3,0.45,0.24,0.1,0.41
2005,22,Chaco,80+ años,Mujer,787,398.16,0.51,0.2,0.09,0.46
2005,22,Chaco,80+ años,Varón,255,187.95,0.74,0.07,0.05,0.75
2005,26,Chubut,20-24 años,Mujer,401,300.1,0.75,0.03,0.02,0.74
2005,26,Chubut,20-24 años,Varón,552,324.42,0.59,0.04,0.03,0.59
2005,26,Chubut,25-29 años,Mujer,697,286.47,0.41,0.06,0.02,0.41
2005,26,Chubut,25-29 años,Varón,0,0,NA,0,0,NA
2005,26,Chubut,30-34 años,Mujer,881,378.96,0.43,0.05,0.02,0.43
2005,26,Chubut,30-34 años,Varón,465,258.25,0.56,0.03,0.02,0.56
2005,26,Chubut,35-39 años,Mujer,2144,827.43,0.39,0.13,0.05,0.35
2005,26,Chubut,35-39 años,Varón,456,225.58,0.49,0.04,0.02,0.5
2005,26,Chubut,40-44 años,Mujer,644,261.13,0.41,0.06,0.02,0.4
2005,26,Chubut,40-44 años,Varón,1374,570.77,0.42,0.1,0.04,0.4
2005,26,Chubut,45-49 años,Mujer,1641,482.15,0.29,0.19,0.05,0.28
2005,26,Chubut,45-49 años,Varón,575,242.53,0.42,0.08,0.03,0.42
2005,26,Chubut,50-54 años,Mujer,1442,470.03,0.33,0.11,0.03,0.32
2005,26,Chubut,50-54 años,Varón,1089,429.16,0.39,0.1,0.04,0.39
2005,26,Chubut,55-59 años,Mujer,1033,369.19,0.36,0.13,0.04,0.35
2005,26,Chubut,55-59 años,Varón,1967,669.44,0.34,0.3,0.08,0.27
2005,26,Chubut,60-64 años,Mujer,745,261.5,0.35,0.11,0.04,0.36
2005,26,Chubut,60-64 años,Varón,771,273.39,0.35,0.1,0.04,0.38
2005,26,Chubut,65-69 años,Mujer,1336,628.43,0.47,0.19,0.08,0.42
2005,26,Chubut,65-69 años,Varón,665,312.7,0.47,0.11,0.05,0.5
2005,26,Chubut,70-74 años,Mujer,831,248.91,0.3,0.24,0.07,0.29
2005,26,Chubut,70-74 años,Varón,599,267.41,0.45,0.25,0.1,0.41
2005,26,Chubut,75-79 años,Mujer,879,318.87,0.36,0.26,0.09,0.34
2005,26,Chubut,75-79 años,Varón,510,251.76,0.49,0.28,0.12,0.42
2005,26,Chubut,80+ años,Mujer,1122,584.38,0.52,0.31,0.12,0.39
2005,26,Chubut,80+ años,Varón,82,82,1,0.19,0.21,1.06
2005,30,Entre Ríos,20-24 años,Mujer,0,0,NA,0,0,NA
2005,30,Entre Ríos,20-24 años,Varón,307,307,1,0.01,0.01,1.01
2005,30,Entre Ríos,25-29 años,Mujer,3298,1537.78,0.47,0.08,0.04,0.45
2005,30,Entre Ríos,25-29 años,Varón,270,270,1,0.01,0.01,1
2005,30,Entre Ríos,30-34 años,Mujer,2937,1282.15,0.44,0.09,0.04,0.42
2005,30,Entre Ríos,30-34 años,Varón,940,651.46,0.69,0.03,0.02,0.69
2005,30,Entre Ríos,35-39 años,Mujer,667,349.37,0.52,0.02,0.01,0.53
2005,30,Entre Ríos,35-39 años,Varón,125,125,1,0.01,0.01,1.01
2005,30,Entre Ríos,40-44 años,Mujer,1360,793.34,0.58,0.05,0.03,0.57
2005,30,Entre Ríos,40-44 años,Varón,534,370.8,0.69,0.02,0.01,0.7
2005,30,Entre Ríos,45-49 años,Mujer,470,364.58,0.78,0.02,0.02,0.77
2005,30,Entre Ríos,45-49 años,Varón,1313,697.44,0.53,0.05,0.02,0.53
2005,30,Entre Ríos,50-54 años,Mujer,3327,1574.88,0.47,0.13,0.06,0.44
2005,30,Entre Ríos,50-54 años,Varón,3146,1473.54,0.47,0.13,0.06,0.44
2005,30,Entre Ríos,55-59 años,Mujer,3014,1235.15,0.41,0.13,0.05,0.39
2005,30,Entre Ríos,55-59 años,Varón,5768,2236.76,0.39,0.2,0.07,0.34
2005,30,Entre Ríos,60-64 años,Mujer,3193,1214.73,0.38,0.14,0.05,0.36
2005,30,Entre Ríos,60-64 años,Varón,3075,1362.24,0.44,0.17,0.07,0.4
2005,30,Entre Ríos,65-69 años,Mujer,2137,982.86,0.46,0.12,0.05,0.44
2005,30,Entre Ríos,65-69 años,Varón,986,479.21,0.49,0.07,0.04,0.5
2005,30,Entre Ríos,70-74 años,Mujer,4747,2336.83,0.49,0.3,0.11,0.37
2005,30,Entre Ríos,70-74 años,Varón,2347,1102.31,0.47,0.19,0.08,0.43
2005,30,Entre Ríos,75-79 años,Mujer,3061,1677.97,0.55,0.24,0.11,0.45
2005,30,Entre Ríos,75-79 años,Varón,2370,1411.73,0.6,0.19,0.1,0.53
2005,30,Entre Ríos,80+ años,Mujer,2383,1023.05,0.43,0.13,0.06,0.46
2005,30,Entre Ríos,80+ años,Varón,1101,860.08,0.78,0.2,0.14,0.7
2005,34,Formosa,20-24 años,Mujer,602,282.79,0.47,0.04,0.02,0.47
2005,34,Formosa,20-24 años,Varón,91,91,1,0.01,0.01,1
2005,34,Formosa,25-29 años,Mujer,836,303.79,0.36,0.05,0.02,0.37
2005,34,Formosa,25-29 años,Varón,86,86,1,0.01,0.01,1.01
2005,34,Formosa,30-34 años,Mujer,251,146.4,0.58,0.02,0.01,0.58
2005,34,Formosa,30-34 años,Varón,151,97.06,0.64,0.01,0.01,0.65
2005,34,Formosa,35-39 años,Mujer,510,222.02,0.44,0.04,0.02,0.44
2005,34,Formosa,35-39 años,Varón,818,314.5,0.38,0.07,0.03,0.39
2005,34,Formosa,40-44 años,Mujer,779,372.8,0.48,0.07,0.03,0.46
2005,34,Formosa,40-44 años,Varón,1245,648.51,0.52,0.1,0.05,0.49
2005,34,Formosa,45-49 años,Mujer,1063,336.04,0.32,0.15,0.04,0.3
2005,34,Formosa,45-49 años,Varón,1011,376.61,0.37,0.12,0.05,0.36
2005,34,Formosa,50-54 años,Mujer,942,351.76,0.37,0.12,0.04,0.36
2005,34,Formosa,50-54 años,Varón,871,345.76,0.4,0.1,0.04,0.39
2005,34,Formosa,55-59 años,Mujer,1976,1130.39,0.57,0.31,0.13,0.42
2005,34,Formosa,55-59 años,Varón,509,270.96,0.53,0.07,0.04,0.52
2005,34,Formosa,60-64 años,Mujer,826,566.93,0.69,0.25,0.14,0.58
2005,34,Formosa,60-64 años,Varón,417,217.01,0.52,0.1,0.06,0.54
2005,34,Formosa,65-69 años,Mujer,1683,558.4,0.33,0.4,0.12,0.31
2005,34,Formosa,65-69 años,Varón,238,168.3,0.71,0.11,0.08,0.71
2005,34,Formosa,70-74 años,Mujer,551,207.86,0.38,0.18,0.07,0.38
2005,34,Formosa,70-74 años,Varón,25,25,1,0.02,0.02,1.02
2005,34,Formosa,75-79 años,Mujer,1160,887.54,0.77,0.26,0.19,0.7
2005,34,Formosa,75-79 años,Varón,110,85.44,0.78,0.05,0.04,0.83
2005,34,Formosa,80+ años,Mujer,325,159.04,0.49,0.14,0.07,0.49
2005,34,Formosa,80+ años,Varón,74,52.34,0.71,0.04,0.03,0.75
2005,38,Jujuy,20-24 años,Mujer,0,0,NA,0,0,NA
2005,38,Jujuy,20-24 años,Varón,0,0,NA,0,0,NA
2005,38,Jujuy,25-29 años,Mujer,663,419.69,0.63,0.03,0.02,0.63
2005,38,Jujuy,25-29 años,Varón,0,0,NA,0,0,NA
2005,38,Jujuy,30-34 años,Mujer,373,194.53,0.52,0.02,0.01,0.53
2005,38,Jujuy,30-34 años,Varón,410,274.5,0.67,0.02,0.01,0.67
2005,38,Jujuy,35-39 años,Mujer,704,392.98,0.56,0.03,0.02,0.56
2005,38,Jujuy,35-39 años,Varón,99,99,1,0.01,0.01,1
2005,38,Jujuy,40-44 años,Mujer,987,382.93,0.39,0.06,0.02,0.4
2005,38,Jujuy,40-44 años,Varón,487,350.58,0.72,0.04,0.03,0.72
2005,38,Jujuy,45-49 años,Mujer,595,323.8,0.54,0.05,0.03,0.55
2005,38,Jujuy,45-49 años,Varón,265,148.69,0.56,0.03,0.02,0.57
2005,38,Jujuy,50-54 años,Mujer,284,167.61,0.59,0.03,0.02,0.59
2005,38,Jujuy,50-54 años,Varón,1351,494.15,0.37,0.1,0.04,0.36
2005,38,Jujuy,55-59 años,Mujer,724,328.66,0.45,0.06,0.03,0.56
2005,38,Jujuy,55-59 años,Varón,976,754.11,0.77,0.1,0.07,0.73
2005,38,Jujuy,60-64 años,Mujer,655,278.05,0.42,0.11,0.05,0.42
2005,38,Jujuy,60-64 años,Varón,995,481.7,0.48,0.11,0.05,0.47
2005,38,Jujuy,65-69 años,Mujer,519,292.41,0.56,0.09,0.05,0.55
2005,38,Jujuy,65-69 años,Varón,1778,634.05,0.36,0.26,0.08,0.31
2005,38,Jujuy,70-74 años,Mujer,161,161,1,0.03,0.03,1
2005,38,Jujuy,70-74 años,Varón,0,0,NA,0,0,NA
2005,38,Jujuy,75-79 años,Mujer,506,215.01,0.42,0.12,0.06,0.47
2005,38,Jujuy,75-79 años,Varón,564,295.24,0.52,0.2,0.1,0.48
2005,38,Jujuy,80+ años,Mujer,289,149.48,0.52,0.1,0.05,0.51
2005,38,Jujuy,80+ años,Varón,214,151.38,0.71,0.09,0.06,0.71
2005,42,La Pampa,20-24 años,Mujer,205,182.58,0.89,0.02,0.02,0.88
2005,42,La Pampa,20-24 años,Varón,0,0,NA,0,0,NA
2005,42,La Pampa,25-29 años,Mujer,504,201.7,0.4,0.07,0.03,0.39
2005,42,La Pampa,25-29 años,Varón,57,57,1,0.01,0.01,1
2005,42,La Pampa,30-34 años,Mujer,1356,597.55,0.44,0.14,0.05,0.4
2005,42,La Pampa,30-34 años,Varón,194,139.27,0.72,0.02,0.02,0.71
2005,42,La Pampa,35-39 años,Mujer,522,230.52,0.44,0.06,0.03,0.43
2005,42,La Pampa,35-39 años,Varón,0,0,NA,0,0,NA
2005,42,La Pampa,40-44 años,Mujer,690,268.28,0.39,0.11,0.04,0.37
2005,42,La Pampa,40-44 años,Varón,0,0,NA,0,0,NA
2005,42,La Pampa,45-49 años,Mujer,439,196.76,0.45,0.08,0.04,0.43
2005,42,La Pampa,45-49 años,Varón,97,97,1,0.02,0.02,1
2005,42,La Pampa,50-54 años,Mujer,417,227.89,0.55,0.07,0.04,0.53
2005,42,La Pampa,50-54 años,Varón,624,372.19,0.6,0.1,0.06,0.56
2005,42,La Pampa,55-59 años,Mujer,575,232.19,0.4,0.13,0.05,0.37
2005,42,La Pampa,55-59 años,Varón,705,285.16,0.4,0.17,0.06,0.38
2005,42,La Pampa,60-64 años,Mujer,289,154.02,0.53,0.11,0.05,0.5
2005,42,La Pampa,60-64 años,Varón,352,197.96,0.56,0.12,0.06,0.54
2005,42,La Pampa,65-69 años,Mujer,687,374.37,0.54,0.17,0.08,0.47
2005,42,La Pampa,65-69 años,Varón,438,255.57,0.58,0.2,0.11,0.53
2005,42,La Pampa,70-74 años,Mujer,353,168.95,0.48,0.11,0.05,0.46
2005,42,La Pampa,70-74 años,Varón,466,276.43,0.59,0.2,0.11,0.53
2005,42,La Pampa,75-79 años,Mujer,245,137.44,0.56,0.14,0.07,0.52
2005,42,La Pampa,75-79 años,Varón,773,353.48,0.46,0.27,0.1,0.37
2005,42,La Pampa,80+ años,Mujer,154,104.16,0.68,0.06,0.04,0.66
2005,42,La Pampa,80+ años,Varón,114,85.91,0.75,0.1,0.08,0.75
2005,46,La Rioja,20-24 años,Mujer,469,309.84,0.66,0.04,0.02,0.64
2005,46,La Rioja,20-24 años,Varón,228,168.65,0.74,0.02,0.01,0.73
2005,46,La Rioja,25-29 años,Mujer,797,295.82,0.37,0.08,0.03,0.35
2005,46,La Rioja,25-29 años,Varón,261,148.05,0.57,0.03,0.02,0.56
2005,46,La Rioja,30-34 años,Mujer,1089,372.75,0.34,0.11,0.03,0.32
2005,46,La Rioja,30-34 años,Varón,68,68,1,0.01,0.01,1
2005,46,La Rioja,35-39 años,Mujer,354,164.63,0.47,0.05,0.02,0.46
2005,46,La Rioja,35-39 años,Varón,124,100,0.81,0.01,0.01,0.8
2005,46,La Rioja,40-44 años,Mujer,1026,362.13,0.35,0.13,0.04,0.32
2005,46,La Rioja,40-44 años,Varón,637,307.84,0.48,0.1,0.04,0.45
2005,46,La Rioja,45-49 años,Mujer,715,246.43,0.34,0.15,0.05,0.32
2005,46,La Rioja,45-49 años,Varón,550,217.73,0.4,0.08,0.03,0.38
2005,46,La Rioja,50-54 años,Mujer,1194,402.82,0.34,0.21,0.06,0.29
2005,46,La Rioja,50-54 años,Varón,818,342.74,0.42,0.16,0.06,0.38
2005,46,La Rioja,55-59 años,Mujer,1343,424.71,0.32,0.29,0.07,0.26
2005,46,La Rioja,55-59 años,Varón,529,264.46,0.5,0.1,0.05,0.48
2005,46,La Rioja,60-64 años,Mujer,998,349.92,0.35,0.25,0.07,0.3
2005,46,La Rioja,60-64 años,Varón,678,273.38,0.4,0.14,0.06,0.39
2005,46,La Rioja,65-69 años,Mujer,118,118,1,0.04,0.04,0.98
2005,46,La Rioja,65-69 años,Varón,292,206.79,0.71,0.11,0.08,0.67
2005,46,La Rioja,70-74 años,Mujer,780,331.81,0.43,0.37,0.11,0.31
2005,46,La Rioja,70-74 años,Varón,1063,381.3,0.36,0.63,0.12,0.19
2005,46,La Rioja,75-79 años,Mujer,344,188.56,0.55,0.26,0.12,0.45
2005,46,La Rioja,75-79 años,Varón,53,53,1,0.09,0.09,0.97
2005,46,La Rioja,80+ años,Mujer,259,175.9,0.68,0.21,0.12,0.59
2005,46,La Rioja,80+ años,Varón,33,33,1,0.02,0.02,1.03
2005,50,Mendoza,20-24 años,Mujer,879,697.29,0.79,0.02,0.02,0.79
2005,50,Mendoza,20-24 años,Varón,2449,1735.33,0.71,0.04,0.03,0.69
2005,50,Mendoza,25-29 años,Mujer,707,588.46,0.83,0.02,0.02,0.83
2005,50,Mendoza,25-29 años,Varón,885,840.26,0.95,0.02,0.02,0.94
2005,50,Mendoza,30-34 años,Mujer,0,0,NA,0,0,NA
2005,50,Mendoza,30-34 años,Varón,0,0,NA,0,0,NA
2005,50,Mendoza,35-39 años,Mujer,610,610,1,0.01,0.01,0.99
